City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
444,Athmallik,IN,85.03,overcast clouds,20.7219,84.5348,"Mishra resident and Advocate chamber,Bangalasahi,Athamallik,Angul"
445,Mananjary,MG,62.89,light rain,-21.2167,48.3333,Vahiny Lodge
446,Paulo Ramos,BR,72.99,few clouds,-4.2167,-45.1833,Hotel milena
447,Roebourne,AU,77.85,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
449,Pocone,BR,74.55,clear sky,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
451,Fremont,US,84.13,clear sky,37.5483,-121.9886,All Suites Islander Motels
452,Basco,PH,82.99,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
453,Kuntaur,GM,76.96,overcast clouds,13.6667,-14.8833,Kairoh Garden Kuntaur
454,Baracoa,CU,79.39,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
455,Caravelas,BR,68.31,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
456,Sorong,ID,84.49,overcast clouds,-0.8833,131.25,waigo splash hotel
457,Portneuf,CA,71.55,overcast clouds,46.6906,-71.8901,Le Portneuvois Hotel
458,Mendi,PG,64.2,broken clouds,-6.1761,143.6513,Kiburu Lodge
459,Cap Malheureux,MU,70.29,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
460,Jiuquan,CN,82.33,light rain,39.7432,98.5174,Jiuquan Hotel
461,Sibolga,ID,85.8,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
463,Erdenet,MN,65.08,overcast clouds,49.0333,104.0833,Erdenet hotel
464,Turukhansk,RU,75.85,clear sky,65.8167,87.9833,"ООО ""Туруханская пушнина"""
467,Aki,JP,84.15,overcast clouds,33.5,133.9,Seigetsu Ryokan
468,Golden,US,80.37,smoke,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
469,Abatskoye,RU,67.64,overcast clouds,56.2875,70.4555,Gostinitsa Abatskaya
470,Porto Belo,BR,65.97,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
471,Kapit,MY,91.54,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
472,Buraydah,SA,86.45,clear sky,26.326,43.975,فندق راحة السلام
473,Kaduqli,SD,72.27,moderate rain,11.0167,29.7167,فندق الله جابو
