City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Gossaigaon,IN,26.4481,89.989,85.33,80,58,6.04,broken clouds
299,Cabedelo,BR,-6.9811,-34.8339,70.47,85,21,11.68,few clouds
300,Gander,CA,48.9682,-54.5906,52.18,100,90,8.01,light intensity drizzle
301,Opuwo,NA,-18.0607,13.84,52.5,19,0,9.08,clear sky
302,Kaeo,NZ,-35.1,173.7833,61.32,80,100,14.76,moderate rain
303,Hoquiam,US,46.9809,-123.8893,83.26,53,1,10.36,clear sky
304,Avera,US,33.194,-82.5271,82.27,64,97,10.54,overcast clouds
305,Salym,RU,60.0625,71.4789,60.01,89,100,4.45,overcast clouds
306,College,US,64.8569,-147.8028,70,57,75,11.5,broken clouds
307,Viedma,AR,-40.8135,-62.9967,40.37,86,54,6.31,broken clouds
308,Luderitz,NA,-26.6481,15.1594,64.44,20,16,15.1,few clouds
309,Victor Harbor,AU,-35.5667,138.6167,56.46,91,81,5.01,light rain
310,Santa Maria,BR,-29.6842,-53.8069,72.7,49,0,9.22,clear sky
311,Sao Filipe,CV,14.8961,-24.4956,73.42,76,33,5.57,scattered clouds
312,Srednekolymsk,RU,67.45,153.6833,64.04,40,100,13.53,overcast clouds
313,Uong Bi,VN,21.0333,106.7833,89.58,56,48,1.54,scattered clouds
314,Belmonte,BR,-15.8631,-38.8828,73.9,82,67,9.19,broken clouds
315,Port Keats,AU,-14.25,129.55,91.56,25,46,2.64,scattered clouds
316,Tocopilla,CL,-22.092,-70.1979,62.28,68,19,13.76,few clouds
317,Yerbogachen,RU,61.2767,108.0108,78.8,39,59,5.97,broken clouds
318,Rongcheng,CN,30.634,117.8517,80.15,88,93,12.17,overcast clouds
319,Vestmanna,FO,62.1564,-7.1664,49.12,100,90,5.75,mist
320,Nuuk,GL,64.1835,-51.7216,39.81,93,90,10.36,overcast clouds
321,Haines Junction,CA,60.7522,-137.5108,60.75,51,100,8.05,overcast clouds
322,Kaspiysk,RU,42.8816,47.6392,73.58,78,40,4,scattered clouds
323,Ascope,PE,-7.7144,-79.1078,66.47,78,15,4.05,few clouds
324,Kaabong,UG,3.4836,34.1492,62.02,91,100,4.63,overcast clouds
325,Anadyr,RU,64.75,177.4833,61.3,93,90,2.24,overcast clouds
326,Bereda,ES,43.2686,-7.5406,58.41,100,98,1.63,overcast clouds
327,Saint-Augustin,CA,51.226,-58.6502,52.59,83,25,6.49,scattered clouds
328,Pegnitz,DE,49.7564,11.545,64.44,85,100,4.36,overcast clouds
329,Katsuura,JP,35.1333,140.3,89.64,68,1,13.89,clear sky
330,Pevek,RU,69.7008,170.3133,37.36,85,51,17.31,broken clouds
331,Kolondieba,ML,11.0882,-6.8926,72.46,94,90,4.36,moderate rain
332,Zhangjiakou,CN,40.81,114.8794,82.26,62,70,9.69,broken clouds
333,Hamilton,US,39.1834,-84.5333,79.84,75,1,9.22,clear sky
334,Russell,US,32.3502,-85.1999,82,94,1,0,light intensity drizzle
335,Dunedin,NZ,-45.8742,170.5036,47.8,65,100,20,overcast clouds
336,Nadym,RU,65.5333,72.5167,61.3,74,34,11.03,scattered clouds
337,Adrar,MR,20.5022,-10.0711,89.67,22,73,9.24,broken clouds
338,Moranbah,AU,-22.0016,148.0466,73.69,23,3,9.62,clear sky
339,Filadelfia,US,39.9523,-75.1638,78.06,65,90,3,overcast clouds
340,San Ramon,US,37.7799,-121.978,85.62,61,1,11.5,clear sky
